keys,ko,en,fr,it,es,ja,el,zh
ui.main_menu.title,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL
ui.main_menu.new_game,새 게임,New Game,Nouvelle Partie,Nuova Partita,Nueva Partida,新しいゲーム,Νέο Παιχνίδι,新游戏
ui.main_menu.continue,이어하기,Continue,Continuer,Continua,Continuar,続ける,Συνέχεια,继续
ui.main_menu.language_label,언어,Language,Langue,Lingua,Idioma,言語,Γλώσσα,语言
ui.chapter_select.title,챕터 선택,Select Chapter,Choisir un Chapitre,Seleziona Capitolo,Seleccionar Capítulo,チャプター選択,Επιλογή Κεφαλαίου,选择章节
ui.chapter_select.back,뒤로,Back,Retour,Indietro,Volver,戻る,Πίσω,返回
ui.chapter_select.start,챕터 시작,Start Chapter,Commencer,Inizia Capitolo,Iniciar Capítulo,チャプター開始,Έναρξη Κεφαλαίου,开始章节
ui.chapter_select.locked,잠금,Locked,Verrouillé,Bloccato,Bloqueado,ロック中,Κλειδωμένο,已锁定
ui.chapter_select.unlock_hint,이전 챕터를 클리어하면 해금됩니다.,Clear the previous chapter to unlock.,Terminez le chapitre précédent pour déverrouiller.,Completa il capitolo precedente per sbloccare.,Completa el capítulo anterior para desbloquear.,前のチャプターをクリアして解放してください。,Ολοκληρώστε το προηγούμενο κεφάλαιο για να ξεκλειδώσετε.,通关前一章节即可解锁。
"ui.chapter_select.chapter1.name","챕터 1 — 지중해, 북방 신화","Chapter 1 — Mediterranean & Nordic Myths","Chapitre 1 — Mythes Méditerranéens & Nordiques","Capitolo 1 — Miti Mediterranei e Nordici","Capítulo 1 — Mitos Mediterráneos y Nórdicos","チャプター1 — 地中海・北欧神話","Κεφάλαιο 1 — Μεσογειακοί & Βορειακοί Μύθοι","第1章 — 地中海·北欧神话"
